scene,draw,window,n_candidates,n_feasible,sectors_covered,sector_histogram,selected_histogram,classification,notes
ycb_clutter,draw1,200-335,41101,41101,8,0:3395;45:6984;90:4060;135:260;180:5679;225:1829;270:14418;315:4476,0:1336;45:1835;90:1192;135:27;180:445;225:161;270:6794;315:1152,POOL_SUFFICIENT,"plateau window; dense bank: 8/8 sectors contactable, lateral slides productive, no direct-progress push exists"
ycb_clutter,draw2,0-288,100327,100327,8,0:6264;45:15137;90:8737;135:23108;180:13477;225:12538;270:12023;315:9043,0:1067;45:4246;90:1676;135:12776;180:3269;225:2032;270:1390;315:1651,POOL_SUFFICIENT,near-success run
