scene,draw,window,n_candidates,n_feasible,sectors_covered,sector_histogram,selected_histogram,classification,notes
icra_sign,draw2,0-57,18954,18954,8,0:1572;45:2380;90:1768;135:4357;180:3388;225:2876;270:1474;315:1139,0:293;45:611;90:381;135:2119;180:1479;225:176;270:123;315:99,POOL_SUFFICIENT,tight success run
icra_sign,draw0,0-31,9743,9743,8,0:1101;45:1089;90:949;135:2029;180:1892;225:967;270:831;315:885,0:187;45:310;90:186;135:1116;180:885;225:13;270:8;315:7,POOL_SUFFICIENT,pre-topple window
