scene,draw,t_start,t_end,target_x,target_y,duration,result
ycb_clutter,draw1,174.281,176.09,0.601353319,0.1423884376,1.8,reached_or_switched
ycb_clutter,draw1,180.18,182.094,0,0,1.9,reached_or_switched
ycb_clutter,draw1,183.051,185.435,0.5791031756,0.07352454195,2.4,reached_or_switched
ycb_clutter,draw1,185.618,186.503,0,0,0.9,reached_or_switched
ycb_clutter,draw1,186.575,187.653,0,0,1.1,reached_or_switched
ycb_clutter,draw1,187.955,188.848,0,0,0.9,reached_or_switched
ycb_clutter,draw1,188.928,199.892,0,0,11.0,reached_or_switched
ycb_clutter,draw1,199.901,200.244,0,0,0.3,reached_or_switched
ycb_clutter,draw1,200.398,211.277,0,0,10.9,reached_or_switched
ycb_clutter,draw1,211.286,222.156,0,0,10.9,reached_or_switched
ycb_clutter,draw1,222.168,222.57,0,0,0.4,reached_or_switched
ycb_clutter,draw1,222.872,223.743,0.572137941,0.05387303884,0.9,reached_or_switched
ycb_clutter,draw1,223.852,225.307,0,0,1.5,reached_or_switched
ycb_clutter,draw1,225.53,226.562,0,0,1.0,reached_or_switched
ycb_clutter,draw1,227.04,228.303,0.5658401418,0.1734450338,1.3,reached_or_switched
ycb_clutter,draw1,229.152,230.55,0.5675463487,0.1727271108,1.4,reached_or_switched
ycb_clutter,draw1,231.223,232.529,0.5542691604,0.1779366443,1.3,reached_or_switched
ycb_clutter,draw1,232.964,234.572,0.5203402086,0.1715351523,1.6,reached_or_switched
ycb_clutter,draw1,235.67,237.227,0.5263513478,0.1752322555,1.6,reached_or_switched
ycb_clutter,draw1,237.756,239.294,0.6005331777,0.141331592,1.5,reached_or_switched
ycb_clutter,draw1,240.531,242.016,0.5390997894,0.1790596255,1.5,reached_or_switched
ycb_clutter,draw1,243.395,245.105,0.5099432509,0.1594266603,1.7,reached_or_switched
ycb_clutter,draw1,247.044,249.413,0.5922723166,0.1021534312,2.4,reached_or_switched
ycb_clutter,draw1,249.423,260.267,0,0,10.8,reached_or_switched
ycb_clutter,draw1,260.278,271.067,0,0,10.8,reached_or_switched
ycb_clutter,draw1,271.076,271.978,0,0,0.9,reached_or_switched
ycb_clutter,draw1,272.277,273.192,0,0,0.9,reached_or_switched
ycb_clutter,draw1,273.375,273.405,0,0,0.0,reached_or_switched
ycb_clutter,draw1,273.458,274.87,0.5760789756,0.1691368248,1.4,reached_or_switched
ycb_clutter,draw1,275.323,276.527,0.5640885217,0.174182065,1.2,reached_or_switched
ycb_clutter,draw1,277.419,278.844,0.5601125452,0.1758550422,1.4,reached_or_switched
ycb_clutter,draw1,279.291,281.245,0.5320213532,0.1777137299,2.0,reached_or_switched
ycb_clutter,draw1,282.233,283.831,0.600480057,0.1404326489,1.6,reached_or_switched
ycb_clutter,draw1,285.055,286.56,0.5379352407,0.1790613247,1.5,reached_or_switched
ycb_clutter,draw1,287.101,288.372,0.5210237639,0.1724172377,1.3,reached_or_switched
ycb_clutter,draw1,289.197,290.65,0.5824316951,0.1659718545,1.5,reached_or_switched
ycb_clutter,draw1,291.449,292.821,0.5517341383,0.1786183886,1.4,reached_or_switched
ycb_clutter,draw1,294.112,295.827,0.509616866,0.1595639934,1.7,reached_or_switched
ycb_clutter,draw1,297.206,298.798,0.5148834069,0.1672394324,1.6,reached_or_switched
ycb_clutter,draw1,300.729,300.742,0.5052409375,0.01667710447,0.0,reached_or_switched
ycb_clutter,draw1,301.376,303.029,0.5279426388,0.1763322983,1.7,reached_or_switched
ycb_clutter,draw1,303.132,304.267,0.575265793,0.1694789883,1.1,reached_or_switched
ycb_clutter,draw1,304.678,305.868,0.589378023,0.1605077703,1.2,reached_or_switched
ycb_clutter,draw1,306.654,308.023,0.5639576906,0.1742371145,1.4,reached_or_switched
ycb_clutter,draw1,308.904,310.578,0.6002780593,0.1406573191,1.7,reached_or_switched
ycb_clutter,draw1,310.997,312.134,0.5968428336,0.1502887836,1.1,reached_or_switched
ycb_clutter,draw1,313.261,315.488,0.5785683474,0.07075829197,2.2,reached_or_switched
ycb_clutter,draw1,315.628,326.343,0,0,10.7,reached_or_switched
ycb_clutter,draw1,,,,,,"summary: 6 timeouts, 0 swept vetoes, 0 deadlocks"
ycb_clutter,draw2,2.202,2.213,0.5494001551,0.2614111767,0.0,reached_or_switched
ycb_clutter,draw2,4.268,4.278,0.5493999797,0.2527404753,0.0,reached_or_switched
ycb_clutter,draw2,6.335,6.347,0.5839998711,0.3124797706,0.0,reached_or_switched
ycb_clutter,draw2,8.434,8.446,0.5494000034,0.2397090562,0.0,reached_or_switched
ycb_clutter,draw2,10.517,10.53,0.4159998786,0.3083235752,0.0,reached_or_switched
ycb_clutter,draw2,12.576,12.588,0.5227927185,0.3592273343,0.0,reached_or_switched
ycb_clutter,draw2,14.642,14.652,0.549400133,0.2242754286,0.0,reached_or_switched
ycb_clutter,draw2,16.704,16.718,0.5494001367,0.2224403809,0.0,reached_or_switched
ycb_clutter,draw2,18.737,20.21,0.4160000853,0.3013895986,1.5,reached_or_switched
ycb_clutter,draw2,24.298,26.014,0,0,1.7,reached_or_switched
ycb_clutter,draw2,30.265,31.723,0,0,1.5,reached_or_switched
ycb_clutter,draw2,32.186999,33.338,0.5057249494,0.1338213634,1.2,reached_or_switched
ycb_clutter,draw2,34.095,35.07,0.5797319382,0.1514308813,1.0,reached_or_switched
ycb_clutter,draw2,36.582,37.589,0.5946685346,0.09941967209,1.0,reached_or_switched
ycb_clutter,draw2,39.484,40.393,0,0,0.9,reached_or_switched
ycb_clutter,draw2,41.183,42.219,0,0,1.0,reached_or_switched
ycb_clutter,draw2,42.487,43.391,0,0,0.9,reached_or_switched
ycb_clutter,draw2,43.593,44.63,0,0,1.0,reached_or_switched
ycb_clutter,draw2,44.966,45.933,0,0,1.0,reached_or_switched
ycb_clutter,draw2,46.139,47.045,0,0,0.9,reached_or_switched
ycb_clutter,draw2,47.242,48.235,0,0,1.0,reached_or_switched
ycb_clutter,draw2,48.532,49.484,0,0,1.0,reached_or_switched
