scene,frame_a,frame_b,min_signed_distance,penetrating
push_t_bt010_icra_sign,panda::panda_link3/Sphere_3,platform::platform/Box,0.34687,False
push_t_bt010_icra_sign,panda::panda_link5/Sphere_11,push_t_oimscale_m01::horizontal_link/stem_collision,0.35067,False
push_t_bt010_icra_sign,panda::panda_link0/Sphere_1,panda::panda_link5/Sphere_1,0.35461,False
push_t_bt010_icra_sign,panda::panda_link0/Sphere_1,panda::panda_link6/Sphere_3,0.35666,False
push_t_bt010_icra_sign,panda::panda_link1/Sphere_4,panda::panda_link8/Sphere,0.3574,False
push_t_bt010_icra_sign,panda::panda_link3/Sphere_2,panda::panda_link7/Sphere_1,0.36979,False
push_t_bt010_icra_sign,platform::platform/Box,push_t_oimscale_m01::vertical_link/crossbar_collision,0.3755,False
push_t_bt010_icra_sign,panda::panda_link3/Sphere_3,ground::ground/ground,0.37587,False
push_t_bt010_icra_sign,panda::panda_link1/Sphere_4,end_effector_full::end_effector_flange/Cylinder,0.37594,False
push_t_bt010_icra_sign,panda::panda_link4/Sphere_6,platform::platform/Box,0.37779,False
push_t_bt010_icra_sign,panda::panda_link0/Sphere_1,panda::panda_link7/Sphere,0.39019,False
push_t_bt010_icra_sign,panda::panda_link0/Sphere_1,end_effector_full::end_effector_tip/Sphere,0.39328,False
push_t_bt010_icra_sign,panda::panda_link1/Sphere_4,end_effector_full::end_effector_peg/Cylinder,0.39674,False
push_t_bt010_icra_sign,panda::panda_link4/Sphere_6,ground::ground/ground,0.40089,False
push_t_bt010_icra_sign,panda::panda_link0/Sphere_1,end_effector_full::end_effector_peg/Cylinder,0.40098,False
push_t_bt010_icra_sign,panda::panda_link2/Sphere_4,panda::panda_link7/Sphere_1,0.40128,False
push_t_bt010_icra_sign,panda::panda_link0/Sphere_1,end_effector_full::end_effector_flange/Cylinder,0.40143,False
push_t_bt010_icra_sign,panda::panda_link0/Sphere_1,panda::panda_link8/Sphere,0.40208,False
push_t_bt010_icra_sign,platform::platform/Box,push_t_oimscale_m01::horizontal_link/stem_collision,0.4101,False
push_t_bt010_icra_sign,panda::panda_link4/Sphere_6,end_effector_full::end_effector_tip/Sphere,0.41227,False
push_t_bt010_icra_sign,panda::panda_link3/Sphere_3,end_effector_full::end_effector_flange/Cylinder,0.42531,False
push_t_bt010_icra_sign,panda::panda_link2/Sphere,panda::panda_link8/Sphere,0.42941,False
push_t_bt010_icra_sign,panda::panda_link1/Sphere_4,end_effector_full::end_effector_tip/Sphere,0.43587,False
push_t_bt010_icra_sign,panda::panda_link3/Sphere_2,panda::panda_link8/Sphere,0.43709,False
push_t_bt010_icra_sign,panda::panda_link2/Sphere,end_effector_full::end_effector_flange/Cylinder,0.44492,False
push_t_bt010_icra_sign,panda::panda_link3/Sphere_3,end_effector_full::end_effector_peg/Cylinder,0.4464,False
push_t_bt010_icra_sign,panda::panda_link0/Sphere_1,push_t_oimscale_m01::horizontal_link/stem_collision,0.45036,False
push_t_bt010_icra_sign,panda::panda_link0/Sphere_1,push_t_oimscale_m01::vertical_link/crossbar_collision,0.4517,False
push_t_bt010_icra_sign,panda::panda_link2/Sphere,end_effector_full::end_effector_peg/Cylinder,0.46555,False
push_t_bt010_icra_sign,panda::panda_link1/Sphere_2,push_t_oimscale_m01::horizontal_link/stem_collision,0.48909,False
push_t_bt010_icra_sign,panda::panda_link3/Sphere_3,end_effector_full::end_effector_tip/Sphere,0.49616,False
push_t_bt010_icra_sign,panda::panda_link1/Sphere_2,push_t_oimscale_m01::vertical_link/crossbar_collision,0.49688,False
push_t_bt010_icra_sign,panda::panda_link2/Sphere,end_effector_full::end_effector_tip/Sphere,0.49912,False
push_t_bt010_icra_sign,panda::panda_link4/Sphere_6,push_t_oimscale_m01::vertical_link/crossbar_collision,0.55572,False
push_t_bt010_icra_sign,panda::panda_link2/Sphere,push_t_oimscale_m01::horizontal_link/stem_collision,0.55669,False
push_t_bt010_icra_sign,panda::panda_link2/Sphere,push_t_oimscale_m01::vertical_link/crossbar_collision,0.56364,False
push_t_bt010_icra_sign,panda::panda_link4/Sphere_6,push_t_oimscale_m01::horizontal_link/stem_collision,0.5841,False
push_t_bt010_icra_sign,panda::panda_link3/Sphere_3,push_t_oimscale_m01::vertical_link/crossbar_collision,0.63656,False
push_t_bt010_icra_sign,panda::panda_link3/Sphere,push_t_oimscale_m01::horizontal_link/stem_collision,0.65968,False
